pH,Temp,OD,Cond,Redox,Mang,Color,Turb,TOC
7.3,19.6,7.5,43.6,209,0.015,8,1,1.753
7,18.6,6.8,51.3,216.9,0.028,16,2,1.608
6.8,17.5,5.2,55.4,214.1,0.036,12,18,1.963
7.3,19.3,7.7,41.4,205.8,0.052,11,3,2.244
7.3,20,7.4,41.9,193.7,0.02,13,1,1.664
7.2,19.1,7.4,50.5,162.6,0.021,19,4,1.6001
7.4,19.4,7.6,41.5,199.5,0.014,15,2,1.83
7.7,20.8,7.8,43.3,111.3,0.042,11,2,2.3328
7.1,19.5,6.9,58.9,129.5,0.044,8,4,2.4562
6.8,18.7,5.3,56.4,128.1,0.044,6,3,2.5677
8.6,20.3,9,38.5,48,0.041,14,2,2.8845
7.4,21,7.6,39.5,117.3,0.055,9,3,2.5058
7.4,21.1,7.6,43.6,116.3,0.03,9,2,2.2957
8.8,21.2,8.7,37.8,93.3,0.022,11,1,2.8229
9.8,21.3,7.222303473491773,49.8,111.7,0.012,0,5,2.0294
7.9,19.1,7.222303473491773,49.9,186.5,0.02,0,4,1.6856
6.6,17.5,7.222303473491773,45.9,220.8,0.053,0,4,2.2315
9.9,21.5,7.222303473491773,50.3,104.7,0.036,0,5,2.246
9.5,21.6,7.222303473491773,46,92.3,0.013,0,4,1.9389
9.8,21.4,7.222303473491773,50,93,0.014,0,2,1.7263
9.9,22.8,7.222303473491773,49,58.2,0.018,0,3,1.9836
9.5,21,8.9,49.6,104.3,0.009,6,5,2.1867
6.9,18.7,3.7,59.3,205.4,0.025,0,5,2.1757
6.8,18.4,3.6,52.1,198.6,0.039,0,7,2.1592
9.6,20.7,8.6,39.4,104.3,0.071,8,4,2.1386
10,22.4,10.4,49.4,72.1,0.009,11,20,2.6802
9.8,21.6,10.4,60.5,77.5,0.009,3,17,2.5975
9.6,21.4,8.7,42.8,85.8,0.009,6,3,2.2413
9,23,8.2,49.3,104.4,0.009,9,10,1.838
7,20.3,4.6,60.7,167.4,0.009,4,6,1.606
6.7,19,3.3,52.7,143.9,0.02,0,17,1.951
10,22.4,10.2,51.7,83.2,0.067,8,13,1.679
8,21.3,5.2,48.1,130.4597561,0.009,7,7,1.7766
9.6,22.3,8.5,50.9,130.4597561,0.009,2,8,1.5704
9.6,22.8,8.8,44.4,107.3,0.009,9,11,1.7346
9,21.1,10.4,51.8,77,0.039,18,10,1.838
7,19.3,5.2,42.9,135.1,0.043,21,6,1.606
6.8,18.8,4,54.5,143.5,0.032,12,5,1.951
10,21.2,10.2,47.2,31.3,0.119,19,4,1.679
7.5,22.4,12.8,54.5,73,0.027,17,29,1.7766
7.5,21.8,11.6,58.7,62.9,0.015,24,38,1.5704
7.5,20.9,9.8,49.2,106.1,0.043,10,5,1.7346
10,20.6,10.7,54.3,150.1,0,15,12,2.0288
7.9,18.8,6.8,60.4,225.8,0.015,30,10,1.9774
7.6,18.2,5,62.7,233.1,0.024,29,16,2.1007
9.8,20.9,11.2,51.1,72.4,0.066,23,13,1.9007
10.2,21.2,11.1,51.7,110.3,0.001,18,7,2.0469
10.1,21.1,10.8,53.5,124.1,0.001,22,8,2.1041
10.2,21,11.6,53.4,112.8,0.004,23,11,2.0419
10,20.2,10.7,49.3,130.4597561,0.004,13.41851851851852,9,2.3231
7.2,18.7,5.6,51.7,130.4597561,0.001,13.41851851851852,2,1.916
7,17.9,4,57.7,130.4597561,0.052,13.41851851851852,4,2.1835
10,19.9,10.8,46.2,130.4597561,0.018,13.41851851851852,3,2.0594
8.5,19.9,6.8,43.2,130.4597561,0.015,13.41851851851852,3,2.2844
9.9,20.2,10.3,50.4,130.4597561,0.014,13.41851851851852,1,2.3681
10.1,19.8,10.7,44.7,130.4597561,0.013,13.41851851851852,4,2.4756
9.3,20.7,8.9,49,59.5,0.009,13.41851851851852,6,2.231
8.5,19.9,6.6,52.4,88.1,0.027,13.41851851851852,8,2.2616
7.1,19.2,4.7,43.7,124.8,0.022,13.41851851851852,6,2.0054
9.3,20.2,9.6,41.4,12.1,0.024,13.41851851851852,7,2.3024
9,21.07,9.1,43.3,34.9,0.012,13.41851851851852,5,2.1732
9.4,21.1,9.4,52.5,65.8,0.009,13.41851851851852,7,2.3209
9.5,21.9,8.5,41.8,46.5,0.009,13.41851851851852,3,2.019
7.8,20.2,7.2,41.2,111.7,0.012,11,7,2.1165
6.6,18.8,3.3,43.2,150,0.009,9,7,2.0595
6.7,18.6,4.2,60.4,136.6,0.043,10,10,2.2557
8,19.6,7.6,39.2,88.7,0.024,9,6,2.2362
7.7,20.8,7,39.5,107.6,0.017,9,14,2.1668
7.9,21.35,7.9,45.4,93.4,0.014,6,7,2.2816
8.6,21.45,8.2,39.9,40.7,0.011,11,6,2.4224
8.5,21.4,8.3,54,101.9,0.009,9,4,2.7101
7,19.67,5,64.5,166.1,0.02,8,6,1.9779
7.1,18.75,2.4,40.5,165.1,0.023,8,5,1.9561
9.1,21.1,9.3,44.9,43,0.051,5,5,2.4185
8.6,21.77,6.8,45,94.7,0.02,14,5,2.0894
9.2,22.3,8.3,50.3,152,0.009,5,3,2.2533
8.8,20.95,7.5,43.1,103.3,0.009,11,4,2.2749
8.4,22.15,8.5,45.9,103,0.018,9,7,2.2474
6.7,20.47,5.6,42.3,165.7,0.026,9,8,2.2043
7,20.7,6.2,41.1,124.5,0.014,9,8,2.0307
8.1,21.25,9.1,43.4,24.2,0.049,13,8,2.2988
7.9,21.77,7.1,43.1,101.1,0.016,9,6,1.9306
8.7,23.1,9,57.8,68.8,0.007,11,4,2.386
8.9,21.6,9.2,42.6,135.6,0.021,27,6,2.5927
9,21.58,8.2,46.9,174.7,0.029,14,6,2.148
7.1,19.3,5.4,59.1,227.9,0.015,14,5,2.1894
6.9,18.7,4.1,57.8,223.2,0.088,19,7,2.5056
9.2,21.45,9.2,41.1,136,0.077,21,7,3.5658
9.3,22.9,8.4,38.8,155.9,0.018,16,5,2.366
9.4,23.05,8.3,43.6,147.3,0.009,16,3,2.2835
8.8,19.6,8.2,33.2,186,0.018,21,6,2.4054
9.4,20.88,8.8,40.4,130.3,0.012,22,4,2.6334
7.6,19.35,6.7,50,186.6,0.028,31,12,2.325
7.5,18.6,5.9,52.6,188.8,0.027,27,13,2.2013
9.2,20.43,9.1,39.8,115,0.079,21,5,3.2303
9.1,21.45,8.4,38,135.5,0.01,23,3,2.7183
9.3,21.03,8.7,42.4,123,0.01,21,3,2.7411
9.3,20.37,8.9,37.4,126.6,0.013,19,4,2.5476
9.4,20.7,8.2,42.7,120.5,0.013,18,3,1.6412
7.5,19.13,6.4,51.2,165.9,0.026,17,4,1.6868
7.3,18.6,5.5,61.8,158.5,0.028,24,8,1.7849
9.7,20.78,8.4,40.2,93.2,0.07,23,3,1.7387
9.3,20.97,7.8,36.6,124.4,0.019,19,2,1.8841
9.5,20.87,7.9,41.1,114.4,0.014,21,3,2.038
9.8,21.1,8.5,40.6,90,0.019,17,3,1.8977
9.9,21.43,8.9,47.8,71.8,0.006,15,8,1.943
8,19.93,5.8,46.8,112,0.007,16,8,1.7616
7.3,19.3,3.2,46.3,126.7,0.037,16,6,1.7735
9.9,21.3,8.5,45.8,37.6,0.105,18,7,1.9724
9.8,21.93,8.3,45.4,89.4,0.009,16,8,2.3669
10.1,23,9.4,59.6,63.7,0.01,15,16,2.3803
9.9,21.16,8.9,45.3,65,0.007,16,9,2.226
9.1,20.25,8.3,42.3,115.8,0.01,14,6,1.943
7.5,19.23,5.7,41.7,143,0.012,16,7,1.7616
7.6,18.6,6,56.8,146.7,0.026,18,9,1.7735
9.4,20.65,8.7,42.8,46.3,0.117,19,8,1.9724
9.3,20.7,7.9,41.1,110.2,0.02,19,19,2.3669
9.7,20.7,9,50.9,85.5,0.014,18,12,2.3803
9.6,20.77,9.2,41.3,81.6,0.01,16,7,2.226
8.3,19.75,8.5,39.6,146.8,0.014,19,6,1.943
7.3,18.5,6.7,46.5,178.1,0.019,31,24,1.7616
7.4,18.1,6.5,52.8,154.4,0.048,39,23,1.7735
8.6,19.68,8.8,39.2,109.2,0.033,26,5,1.9724
8.5,19.8,8.3,38,135.6,0.012,22,9,2.3669
8.9,19.8,8.6,40.7,123.2,0.01,24,5,2.3803
8.5,19.5,8.3,38.2,120.6,0.01,21,4,2.226
8.4,19.5,8.3,39.4,144.1,0.004,21,5,1.943
7.1,18.3,6.8,47.5,179.7,0.012,32,25,1.7616
6.9,17.87,6.5,56.2,171.3,0.028,51,35,1.7735
8.4,19.6,8.1,38.4,136,0.049,36,3,1.9724
8.2,19.8,8.1,37.8,164.1,0.012,24,3,2.3669
8.9,19.47,8.4,39.8,126.5,0.005,22,5,2.3803
8.7,19.63,8.3,38.5,159.1,0.022,22,4,2.226
7.4,18.63,5.7,46.8,147.5,0.012,8,6,2.3085
7.8,21.13,8.2,42.6,169,0.009,7,3,2.1074
9.1,20.2,8.8,44.3,144.8,0.011,8,5,2.0927
6.8,18.47,6,55.9,171.5,0.013,3,5,1.8832
6.9,18.1,3.2,48.6,183.4,0.015,4,9,2.1826
7.7,18.69,5.2,43.2,130.3,0.031,11,6,2.3085
9,20.93,8.3,41.8,139.1,0.012,15,5,2.1074
9.2,20.63,8.4,44.2,133.2,0.008,14,4,2.1002
9.6,19.87,9.6,43.5,97.2,0.008,13,4,2.1713
9.4,20.57,9.5,47.6,102.8,0.011,8,6,2.113
7.3,18.4,6,54.5,191.1,0.014,8,21,1.8832
7.3,18.2,4,53.9,183,0.031,11,25,2.1826
7.4,18.79,5.2,44,113.8,0.046,7,8,2.077
8.6,20.7,7.9,46.2,119.7,0.013,11,7,1.962
8.9,20.67,8.5,58.5,108.7,0.015,11,5,1.9951
9.7,20.4,10.1,50.9,71.2,0.009,13,10,2.2796
8.9,20.03,9.2,47.3,113.6,0.011,11,20,2.3329
7.3,19.17,5.6,49.4,150.1,0.016,5,7,2.0521
7.2,18.23,3.1,54.6,153.5,0.037,5,5,1.8542
7.3,18.66,5.6,43.6,97.3,0.029,12,9,2.5708
10,20.63,11,48.2,59.9,0.009,13,19,2.5498
10.1,20.75,11.4,54.3,71.5,0.009,11,19,2.842
9.7,19.9,9.7,46.3,58.9,0.009,14,15,2.9914
9.5,22.13,9.4,50.6,23.7,0.009,14,12,2.6159
7.2,18.83,4.5,43.3,156.4,0.015,11,7,2.0057
7.9,18.33,6.5,60.3,127.6,0.022,14,30,2.2808
7.6,19.74,5.1,44.9,8.8,0.105,20,6,2.7522
8.9,22.33,8.7,55.6,58.9,0.009,18,12,2.679
9.6,22.5,10.7,60.5,36.8,0.009,14,12,2.64
9.7,22.5,9.9,48.6,30.6,0.009,13,16,2.6716
9,19.6,9.6,46,58.2,0.009,15,9,2.5455
7,20.43,5.2,70.2,71.9,0.04,13,9,2.3139
6.6,19.28,2,47.2,83,0.039,19,2,2.3136
7.1,18.36,5,45.8,11.1,0.106,17,8,2.3518
9.9,20.7,11.6,46.6,44.8,0.009,19,12,2.5741
9.9,20.8,11.6,48.4,41.1,0.009,19,14,2.4451
8.5,19.43,7.8,42.4,47.7,0.012,17,11,2.3829
9.5,22.5,8,45.3,39.8,0.011,14,10,2.1731
7.3,18.48,6.4,44.3,98.5,0.015,18,14,2.6197
7.7,18.23,7.2,49.1,92.4,0.016,18,19,2.5286
7.5,19.48,4.5,45,61.5,0.067,12,6,2.2193
9.2,22.13,7.9,45.4,74.7,0.012,11,20,2.3868
9.7,23,8.8,50.1,48.6,0.009,9,22,2.8054
9.5,21.7,7.8,41.8,45.9,0.011,7,4,2.4784
9.5,21.93,8.6,47.9,49.3,0.009,12,15,3.5561
6.9,20.27,3,46.5,99.2,0.019,9,9,2.1081
6.9,19.47,3,50.5,101.9,0.013,10,11,1.9686
7.8,19.85,5.1,45.8,40.4,0.065,13,3,2.3973
9.8,23.13,9.5,49.1,55.1,0.009,18,17,3.7119
9.8,22.8,8.7,50,56,0.009,5,32,5.2751
9.6,22.25,8.1,45.1,74.8,0.009,6,4,3.7202
8.6,22.7,6.8,48.2,202.6,0.014,14,10,3.5637
6.9,19.83,3.5,50.3,110.9,0.015,13,4,2.3602
6.9,19.2,3.2,51.4,109.2,0.015,10,4,2.1421
7.6,19.63,5.7,46.1,108.6,0.068,22,6,2.7929
9.3,22.5,7.9,49.7,158.2,0.019,25,14,3.5899
8.9,22.13,6.8,54.2,166.7,0.019,18,16,3.8076
9.5,21.3,8.1,46.7,171.7,0.02,16,5,3.2172
8.9,21.37,8.1,45.7,175.7,0.01,25,10,3.1716
7,20.77,3.5,45.5,254,0.021,16,5,2.6499
7,19.6,3.5,55.6,230,0.027,24,6,2.4967
7.5,19.6,5.3,44.7,126,0.059,21,7,2.7394
8.9,21.2,8.3,46,120.6,0.009,23,32,3.0694
9.4,21.8,9.3,49.7,172.1,0.011,19,18,3.3798
8.6,20.7,7.4,43.3,191,0.013,17,10,3.1441
8.9,21.43,8.3,50,169.2,0.008,22,24,2.2133000000000003
6.8,19.9,4.3,47.3,229.1,0.015,19,5,2.8814
7,19.25,3.9,53,232.2,0.018,20,5,2.5104
7.5,19.58,4.8,46.9,158.9,0.073,21,13,2.2133000000000003
9.4,22.13,9.3,48.1,146.9,0.012,23,28,2.2133000000000003
9.8,22.53,11.3,57,145.1,0.012,27,43,2.2133000000000003
9.9,23.2,10.2,54.7,123.8,0.009,20,29,3.1441
8.9,20.23,9.5,47.8,121.3,0.006,24,27,3.4844
6.9,19.6,4.3,61.8,191.8,0.042,20,11,2.2133000000000003
7.4,19.05,2.8,58.4,192.5,0.088,21,7,2.2133000000000003
7.3,18.44,5.3,45.8,191.2,0.01,25,27,3.2124
9.2,20.83,9.4,45.5,109.5,0.03,17,18,3.5327
9.5,20.57,9.8,48.7,85.3,0.007,19,27,3.4506
9.3,20.63,9.3,43.3,98.8,0.018,9,26,3.2272
9.6,21.13,10,52.7,130.4597561,0.012,19,12,2.8076
7.2,18.13,5.2,53.7,157,0.014,18,15,2.9448
7.4,17.8,5.8,58.6,139.7,0.036,26,43,2.9629
9.1,20.53,8.4,49.4,130.4597561,0.018,19,6,2.9536
9.4,21.3,8.8,53.8,130.4597561,0.032,13,10,2.6578
9.2,19.97,9.3,46.9,130.4597561,0.016,11,9,2.9919
7.3,21.27,7.2,51.7,130.4597561,0.08,14,3,1.6992
6.9,19.67,5.4,62.7,130.4597561,0.054,16,6,1.6343
6.9,18.65,1.8,51.8,130.4597561,0.054,22,5,1.6648
7.4,19.31,5,47.6,130.4597561,0.08,17,5,1.7071
7.4,21.53,7.1,51.3,130.4597561,0.025,17,3,1.5847
7.4,21.17,7.1,55.5,130.4597561,0.017,16,5,1.5927
8.2,21.17,7.8,48.4,130.4597561,0.007,17,3,2.2133000000000003
7.6,20.03,8,48.8,130.4597561,0.017,14,2,2.1667
7.1,18.9,6.5,48.7,130.4597561,0.017,11,3,1.9411
7,18.3,4.4,54.5,130.4597561,0.03,10,5,1.8507
7,18.89,5.9,46.4,130.4597561,0.077,12,3,2.0782
7.8,20.43,8,46.4,130.4597561,0.025,10,3,1.9484
7.7,20.13,8,54.3,130.4597561,0.03,10,3,1.9571
7.9,20.43,7.9,44.1,130.4597561,0.019,7,2,1.9685
8.3,21,10,49.4,130.4597561,0.008,11,3,1.9247
7.9,20.73,10,48.9,130.4597561,0.018,19,6,1.6959
7.4,20.37,9.9,55.5,130.4597561,0.037,13,7,1.7321
7.6,19.25,6.7,52.3,130.4597561,0.156,23,4,1.8723
8,21.9,9.1,50.8,130.4597561,0.022,10,4,1.9519
7.8,22.05,10,65.4,130.4597561,0.018,15,4,1.8497
9.3,21.3,10.5,47.7,130.4597561,0.009,8,3,1.9606
8.2,20.47,7.8,51.3,130.4597561,0.005,2,5,2.2133000000000003
7.5,18.93,6.5,67.6,130.4597561,0.016,4,4,2.2133000000000003
7.6,18.6,5.8,74.8,130.4597561,0.057,1,6,2.2133000000000003
7.2,19.3,5.3,48.5,130.4597561,0.156,2,5,2.2133000000000003
8.6,20.83,7.8,48,130.4597561,0.025,1,5,2.2133000000000003
8.3,20.4,7.9,53.3,130.4597561,0.012,1,5,2.2133000000000003
9.3,21.3,10.5,47.7,130.4597561,0.01,1,3,2.2133000000000003
9.2,21.17,9.5,57,130.4597561,0.005,9,7,2.5892
7.7,19.13,6.5,59.2,130.4597561,0.016,10,10,2.284
7.9,18.85,6,68.3,130.4597561,0.057,12,11,2.2553
7.4,18.69,5.3,47.3,130.4597561,0.156,12,5,2.2188
9.8,22.4,9.4,56.5,130.4597561,0.025,12,5,2.5649
9.1,21.57,9,67.4,130.4597561,0.012,13,5,2.2256
7.9,19.5,7.8,46.1,130.4597561,0.01,7,3,2.1782
9.4,20.7,9.4,50.97038391224861,130.4597561,0.012,24,5,2.8356
7.7,18.97,6.6,50.97038391224861,130.4597561,0.011,17,8,2.6737
8,19,6.2,50.97038391224861,130.4597561,0.022,20,16,2.5674
7.4,19.33,6.3,50.97038391224861,130.4597561,0.14,29,5,2.7703
9.2,20.93,9,50.97038391224861,130.4597561,0.029,10,5,2.7625
9,20.47,8.8,50.97038391224861,130.4597561,0.016,10,6,3.3509
9.1,19.73,9.1,50.97038391224861,130.4597561,0.02,21,7,2.1782
9.9,21.07,9.7,67.1,130.4597561,0.01,13,6,2.4882
9.3,20.9,9,61.3,130.4597561,0.01,12,7,2.4014
8.4,20.33,7.7,55.3,130.4597561,0.026,15,4,2.3195
8.3,19.25,6.7,61.1,130.4597561,0.132,30,6,2.7763
10.2,21.13,10,64.2,130.4597561,0.011,22,7,2.6702
